TACC3	AURKA	CKAP5	Aurora_A/chTOG/TACC3_(complex)
FZD10	WNT7B	LRP5	WNT7B/FZD10/LRP5_(complex)
GNB1	GNGT1	GNAI1	G-alpha-I/G-gamma/G-beta_(complex)
CACNA2D2	Beta_Subunit_of_Voltage-dependent_Calcium_Channel_(pancreatic_beta_cell)_(family)	CACNA1D-2	Voltage-gated_Calcium_Channel_L-type_1.3_(complex)
MRE11A	NBN	RAD50	NBS1/Rad50/Mre11_(complex)
PELP1	E2/ER_alpha_(dimer)_(complex)	ESR1	E2/ER_alpha_(dimer)/PELP1_(complex)
HSP90_homodimer_(complex)	EGFR	CDC37_homodimer_(complex)	Phospho-EGFRvIIImut/HSP90/CDC37_(complex)
GRB2	PIK3R1	GAB1	GRB2/GAB1/PIK3R1_(complex)
MDM2	TFDP1	E2F1	E2F1/MDM2/TFDP1_(complex)
B7-1_homodimer/_B7-2_(family)	Phospho_CD28_homodimer_(complex)	Lck/Fyn_(family)	phospho_CD28/B7-1/B7-2_(complex)
HLA-DRA	peptide	P04229	peptide/MHC_II_(complex)
Delta_epsilon_gamma_subunits_of_acetylcholine_receptor_(family)	CHRNB4	CHRNA3	Acetylcholine_receptor_alpha3-beta4_(complex)
ARHGEF7	ILK	GIT2	ILK/betaPIX/PKL_(complex)
SMARCB1	SMARCA4	SMARCE1	INI1/BRG1/BAF57_(complex)
LAMB1	LAMA2	LAMC1	Laminin-2_(Merosin)_(complex)
GAB_family_(family)	GRB2	SOS1	GRB2/SOS1/GAB_family_(complex)
TCEB2	TCEB1	VHL	VBC_complex_(complex)
40s_Ribosome_subunit	48s_Ribosome_subunit_(complex)	RNA_strand_(rna)	40s_Ribosome_subunit/RNA_strand_(complex)
CDKN1B	KPNA1	14-3-3_family_(family)	p27Kip1/14-3-3_family_(complex)
TCEB2	TCEB1	VHL	VHL/Elongin_B/Elongin_C_(complex)
CCNT1	CDK9	CCNT2	P-TEFb_complex_(complex)
ZNF143	SNAPc_(complex)	POU2F1	SNAPc/Oct-1/Staf/Type_3_Promoter_Complex_(complex)
NTN1	DCC	UNC5C	netrin_1/DCC/UNC5C_(complex)
AMPK_gamma2/AMP_(complex)	PRKAB2	PRKAA2	Activated_AMPK_heterotrimer_(complex)
HUS1	RAD9A	RAD1	911_complex_(complex)
HSP90AA1	SRC	PDPK1	PDK1/Src/Hsp90_(complex)
beta3_Integrin/Src_(complex)	SPP1	ITGAV	alphav/beta3_Integrin/Osteopontin/Src_(complex)
P01343	IGF1R	IGF-1R-alpha/IGF-1R-alpha/IGF-1R-beta/IGF-1R-beta/IRS-1_(complex)	IGF-1/IGF-1/IGF-1R-alpha/IGF-1R-alpha/IGF-1R-beta/IGF-1R-beta_(complex)
IKBKB	CHUK	IKBKG	Inhibitor_of_KappaB_kinase_(IKK)_Complex_(complex)
Q68EM9	ITGA4	ITGB7	alpha4/beta7_Integrin_(complex)
GNG2	GNB1	Gi_family_(family)	Gi(beta/gamma)_(complex)
Troponin_C_(family)	Troponin_T_(family)	Troponin_I_(family)	Troponin_Complex_(complex)
EHMT2	TTF-I/Sal_Box_(complex)	ERCC6	TTF-I/_rRNA_Promoter/_CSB/_G9a_Complex_(complex)
NRP1	VEGFR1_homodimer_(complex)	FLT1	VEGFR1_homodimer/NRP1_(complex)
SF3A1	SF3A2	SF3A3	SF3A_(complex)
E2F3	TFDP1	RB1	E2F3/RB1/TFDP1_(complex)
SUMO3	SUMO2	SUMO_target_protein	Sumo_target_protein/SUMO2/3_(complex)
